,neighbourhood,host_name,room_type,neighbourhood_group,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,last_review_year,last_review_month,last_review_day,price
1508,161.59859154929578,450.0,0,4,-0.2222222222222222,-0.2,0.0,-0.17391304347826086,0.3488372093023256,0.0,0.0,0.0,450
1509,201.27619047619046,61.0,1,4,0.2222222222222222,0.2,-0.8076923076923077,-0.17391304347826086,-0.8637873754152824,-1.0,-2.0,1.8571428571428572,31
1510,124.3211009174312,134.0,1,0,9.666666666666666,6.7,2.346153846153846,-0.15217391304347827,-0.26578073089701,0.0,0.0,-0.14285714285714285,62
1511,188.7929104477612,162.75,2,4,-0.2222222222222222,19.9,8.538461538461538,0.15217391304347827,-0.707641196013289,0.0,1.0,-1.4285714285714286,139
1512,161.59859154929578,44.0,1,4,-0.2222222222222222,0.0,-0.9615384615384615,-0.17391304347826086,-0.8637873754152824,-3.0,-1.0,-0.7142857142857143,44
1513,161.59859154929578,119.19047619047619,2,4,0.1111111111111111,6.8,2.3269230769230766,1.6304347826086956,-0.6744186046511628,0.0,1.0,-0.7142857142857143,87
1514,206.16923076923078,85.3076923076923,1,3,-0.1111111111111111,0.6,-0.576923076923077,-0.17391304347826086,0.24584717607973422,-1.0,3.0,1.0,56
1515,166.16299137104505,49.544642857142854,1,4,2.7777777777777777,-0.1,-1.0,2.239130434782609,0.23588039867109634,-3.0,-1.0,0.14285714285714285,40
1516,158.63002680965147,273.6666666666667,1,2,-0.2222222222222222,6.2,2.75,-0.15217391304347827,0.18604651162790697,0.0,1.0,-0.42857142857142855,65
1517,91.04575163398692,52.0,1,3,-0.2222222222222222,-0.2,0.0,-0.17391304347826086,-0.8637873754152824,0.0,0.0,0.0,44
1518,140.36466165413535,59.0,1,4,0.2222222222222222,0.0,-0.9615384615384615,-0.17391304347826086,-0.8637873754152824,-3.0,-1.0,1.7142857142857142,65
1519,166.16299137104505,69.07446808510639,1,4,1.6666666666666667,0.0,-0.9230769230769231,1.608695652173913,0.33222591362126247,-2.0,1.0,1.5714285714285714,50
1520,93.31746031746032,67.4,1,3,3.0,4.2,1.0961538461538463,-0.15217391304347827,0.14950166112956811,0.0,1.0,1.1428571428571428,44
1521,124.3211009174312,134.0,1,0,9.666666666666666,4.2,1.173076923076923,-0.15217391304347827,-0.2691029900332226,0.0,0.0,0.0,65
